Vmag,Plx,B-V,MagA,Clase
6.37,3.93,0.962,14.341963,1.0
4.84,4.36,-0.125,13.037433,0.0
8.46,9.47,0.377,18.341751,0.0
7.39,2.91,-0.155,14.709465,0.0
8.98,28.24,0.89,21.234324,0.0
9.23,8.71,0.592,18.93009,0.0
8.67,1.27,1.434,14.189018,1.0
8.1,8.98,1.198,17.866383,1.0
8.29,7.61,0.362,17.696922,0.0
7.95,0.24,1.079,9.851056,1.0
8.25,4.09,-0.026,16.308617,0.0
8.86,6.7,0.518,17.990374,0.0
7.56,0.98,-0.139,12.51613,0.0
7.7,1.11,-0.058,12.926615,1.0
5.72,1.97,-0.112,12.192331,0.0
6.21,8.8,0.01,15.932413,0.0
9.54,-2.08,1.74,16.130316,1.0
6.93,4.43,1.54,15.16202,1.0
7.24,1.43,0.091,13.01668,1.0
8.18,4.05,0.95,16.217276,1.0
5.78,3.57,-0.01,13.543341,1.0
9.27,5.55,0.42,17.991467,0.0
6.58,6.36,0.976,15.597285,0.0
7.87,4.32,1.06,16.047419,1.0
8.79,0.66,1.217,12.88772,1.0
9.71,7.54,0.654,19.096855,0.0
3.49,7.74,1.4,12.933704,1.0
7.6,4.41,1.02,15.822193,1.0
8.59,0.97,0.126,13.523859,1.0
6.52,6.95,0.962,15.729923,0.0
8.13,11.62,0.472,18.456032,0.0
8.63,1.92,1.701,15.046507,1.0
6.59,0.55,0.338,10.291814,1.0
9.05,2.97,0.53,16.413782,0.0
7.88,3.88,0.569,15.824159,0.0
8.28,5.16,-0.1,16.843248,0.0
8.92,2.83,-0.037,16.178932,0.0
8.05,2.92,1.138,15.376914,1.0
9.04,11.69,0.632,19.37907,0.0
6.54,12.25,0.337,16.980682,1.0
9.05,2.05,1.056,15.608769,1.0
8.54,3.82,1.035,16.450317,1.0
7.99,7.44,0.116,17.347864,0.0
8.36,3.61,-0.04,16.147537,0.0
7.57,4.05,1.188,15.607275,1.0
7.5,0.5,1.645,10.99485,1.0
8.74,2.95,0.937,16.08911,1.0
7.01,0.59,1.197,10.86426,0.0
9.01,4.62,0.53,17.33321,0.0
9.16,4.49,1.217,17.42123,1.0
8.0,2.52,1.065,15.007003,1.0
9.5,28.79,0.941,21.796207,0.0
7.46,4.1,1.06,15.523919,1.0
8.61,9.01,0.424,18.383625,0.0
6.82,1.59,-0.094,12.826986,1.0
5.43,17.21,0.069,16.608904,0.0
9.55,18.98,0.88,20.941483,0.0
9.13,1.38,0.239,14.829395,0.0
9.21,0.27,1.614,11.366819,1.0
8.85,0.77,1.044,13.282454,1.0
6.24,2.43,1.424,13.168032,1.0
7.7,0.9,-0.11,12.471212,1.0
8.65,3.96,1.15,16.638475,1.0
8.61,3.27,0.093,16.18274,0.0
7.21,0.66,0.042,11.30772,1.0
8.44,22.42,0.724,20.193176,0.0
8.66,6.88,0.337,17.847942,0.0
10.06,4.88,0.769,18.502098,0.0
6.48,1.37,0.281,12.163603,1.0
9.16,5.46,0.889,17.845963,0.0
5.36,65.79,0.589,19.4508,0.0
8.64,1.11,0.95,13.866615,1.0
7.49,-1.08,0.215,12.657119,1.0
8.85,7.92,0.403,18.343628,0.0
9.33,0.77,-0.116,13.762453,0.0
6.52,14.39,0.214,17.310305,0.0
8.43,2.83,0.026,15.688932,0.0
8.79,-0.37,0.0,11.631008,0.0
10.32,22.13,1.07,22.044907,0.0
6.75,17.4,0.662,17.952745,0.0
8.22,3.63,1.23,16.019535,1.0
7.46,1.55,0.988,13.411658,1.0
7.63,2.69,1.187,14.778762,1.0
8.7,1.8,1.53,14.976362,1.0
8.98,14.05,0.698,19.718382,0.0
7.43,3.83,0.944,15.345993,1.0
7.33,7.74,0.065,16.773705,0.0
7.75,8.59,0.337,17.419966,0.0
6.91,3.53,1.607,14.648873,1.0
8.31,5.39,0.352,16.967945,0.0
8.38,10.97,0.459,18.581034,0.0
5.91,37.68,0.53,18.790554,0.0
8.01,9.41,0.513,17.877949,0.0
8.13,5.96,0.154,17.006231,1.0
8.49,14.91,0.579,19.357388,0.0
7.34,2.01,0.088,13.85598,0.0
8.31,10.98,0.396,18.513012,0.0
7.58,3.62,0.997,15.373543,1.0
8.64,3.79,1.063,16.533195,1.0
5.77,14.38,1.024,16.558794,1.0
8.81,17.1,0.614,19.97498,0.0
6.68,-0.39,0.078,9.635323,1.0
8.52,2.62,1.047,15.611507,1.0
8.74,1.67,0.873,14.853582,1.0
8.79,-0.35,0.349,11.51034,1.0
6.28,36.92,0.659,19.116308,0.0
10.3,2.56,0.105,17.3412,1.0
5.93,10.73,1.041,16.082998,1.0
8.3,3.04,1.14,15.714368,1.0
7.34,3.67,-0.132,15.16333,0.0
8.29,3.03,1.117,15.697213,1.0
6.25,0.92,0.249,11.068939,1.0
8.39,3.02,0.423,15.790035,1.0
8.11,2.29,1.211,14.909178,1.0
8.03,9.98,0.524,18.025652,0.0
7.54,3.26,-0.058,15.106089,0.0
7.4,2.29,-0.01,14.199178,1.0
8.97,-0.81,1.264,13.512425,1.0
4.31,12.32,0.831,14.763054,1.0
7.03,11.03,1.065,17.242878,1.0
9.21,1.46,1.19,15.031765,1.0
7.0,3.94,0.873,14.977481,1.0
8.35,2.32,1.483,15.177441,1.0
8.78,7.42,0.444,18.132019,0.0
8.53,9.99,0.506,18.527828,0.0
6.56,0.86,0.79,11.232492,1.0
8.31,7.55,0.38,17.699736,0.0
6.66,7.51,0.792,16.0382,1.0
8.37,9.27,0.958,18.205399,0.0
8.48,1.53,1.278,14.403457,1.0
7.37,4.46,1.2,15.616674,1.0
10.17,9.28,0.7,20.00774,0.0
8.37,7.41,0.358,17.71909,0.0
8.6,2.03,-0.013,15.137481,0.0
8.73,1.37,0.006,14.413603,0.0
8.34,4.27,0.992,16.49214,1.0
7.53,2.55,0.993,14.5627,1.0
8.9,2.83,1.173,16.158932,1.0
8.94,2.79,1.779,16.16802,1.0
7.3,4.35,0.028,15.492446,0.0
7.17,3.24,1.503,14.722725,1.0
9.5,10.77,0.595,19.661077,0.0
8.19,23.78,0.619,20.07106,0.0
7.76,2.49,1.009,14.740997,1.0
6.76,7.75,0.12,16.206509,0.0
8.68,2.46,0.964,15.634676,1.0
8.69,4.7,0.96,17.05049,1.0
6.61,6.32,-0.049,15.613586,0.0
9.94,2.9,1.0,17.25199,1.0
8.16,0.28,1.56,10.39579,0.0
9.6,13.41,0.747,20.237144,0.0
9.68,27.57,1.016,21.882185,0.0
8.81,5.11,0.363,17.352104,0.0
8.77,8.62,0.811,18.447536,1.0
9.31,2.33,1.379,16.14678,1.0
7.52,3.03,-0.143,14.927214,0.0
7.78,15.43,0.526,18.72183,0.0
8.59,10.42,0.3,18.679338,0.0
10.69,0.73,-0.077,15.006614,1.0
9.3,6.26,0.813,18.282871,0.0
7.03,5.2,0.967,15.610016,1.0
8.73,4.32,1.143,16.907417,0.0
6.48,5.18,0.873,15.051649,1.0
7.6,8.42,0.276,17.22656,0.0
7.97,2.77,1.419,15.182398,1.0
8.92,0.13,0.116,9.489717,0.0
8.26,2.69,0.388,15.408762,0.0
8.31,4.65,1.029,16.647266,1.0
4.15,8.12,-0.011,13.697781,1.0
4.77,5.4,1.529,13.431969,1.0
7.63,16.11,0.491,18.665478,0.0
8.6,2.5,1.086,15.589701,1.0
8.88,4.03,0.208,16.906525,0.0
8.67,1.37,1.337,14.353603,1.0
8.74,1.83,1.087,15.052256,1.0
9.15,0.77,-0.021,13.582453,0.0
9.51,1.93,1.068,15.937786,1.0
